times,alternator_currents,battery_currents,velocities
228,-27.315,2.583,53.08
229,-21.711,1.95,53.38
230,-21.893,1.899,53.78
231,-37.474,2.04,54.5
232,-37.762,2.161,55.88
233,-38.182,1.879,57.18
234,-38.205,-0.439,57.3
235,-64.447,23.02,56.74
236,-69.646,32.295,55.42
237,-66.545,30.182,54.1
238,-61.189,29.97,52.94
239,-64.259,28.726,51.76
240,-67.613,28.146,50.36
241,-66.865,27.898,48.92
242,-65.147,26.997,47.38
243,-61.967,25.994,45.66
244,-56.827,20.81,44.44
245,-65.14,26.054,42.42
246,-60.822,25.042,40.2
247,-63.379,24.826,37.34
248,-63.864,24.697,33.26
249,-60.074,24.065,29.74
250,-56.493,24.462,26.52
251,-59.082,23.88,23.16
252,-58.978,23.56,22.32
253,-16.209,-19.649,21.92
254,-12.146,-26.457,20.26
255,-22.972,-15.475,18.36
256,-47.832,15.014,17.22
257,-21.587,-14.012,17.98
258,-58.128,25.342,17.66
259,-41.923,9.755,16.14
260,-21.152,-13.264,14.34
261,-24.325,-10.017,14.44
262,-27.964,-7.658,16.42
263,-29.233,-8.81,19.66
264,0,-41.456,22.62
265,0,-31.048,25.44
266,0,-37.962,28.34
267,-30.926,7.546,29.32
268,0,-44.623,33.38
269,-31.115,8.4,36.54
270,-33.577,12.546,37.52
271,-49.992,8.337,39.96
272,-28.221,6.74,42.56
273,-41.096,5.36,42.84
274,-43.034,3.728,44.96
275,-57.196,18.505,46.18
276,-69.236,31.29,45.36
277,-65.671,28.205,44.2
278,-62.398,26.114,42.26
279,-64.928,25.172,39.66
280,-64.595,24.681,35.94
281,-60.301,24.385,31.26
282,-60.664,23.699,27.86
283,-50.669,13.857,23.44
284,0,-23.164,22.46
285,0,-43.877,24.1
286,0,-21.52,26.22
287,-20.09,-0.184,27.3
288,0,-44.06,30.56
289,-4.564,-16.026,36.14
290,-27.41,7.851,37.04
291,-24.798,-7.555,40.86
292,-10.961,-10.487,44.66
293,-42.754,5.782,44.96
294,-43.387,3.389,47.44
295,-66.393,27.114,49.84
296,-61.997,26.131,49.66
297,-32.951,-3.791,48.52
298,-33.316,-3.668,47.18
299,-33.986,-2.897,46.2
300,-34.252,-2.916,45.98
301,-34.912,-1.823,46.12
302,-29.663,-1.896,46.5
303,-15.342,-2.109,46.86
304,-39.613,24.58,47.04
305,-35.384,15.624,46.38
306,-37.967,17.766,45.12
307,-8.668,-12.046,43.96
308,-12.928,-7.944,42.92
309,-40.783,21.717,42.42
310,-44.28,24.999,41.12
311,-14.724,-5.442,40.62
312,-9.921,-11.061,40.34
313,-13.478,-7.469,39.62
314,-16.423,-3.759,38.54
315,-46.468,27.769,37.4
316,-43.464,24.302,36.82
317,-42.537,23.46,36.44
318,-42.286,23.259,35.38
319,-41.706,22.59,33.38
320,-41.46,22.438,31.96
321,-41.197,21.998,30.32
322,-40.763,21.333,28.92
323,-40.81,21.797,28.1
324,-28.751,9.078,26.42
325,0,-21.816,25.34
326,0,-21.844,25.44
327,0,-21.901,24.78
328,0,-21.936,23.92
329,0,-21.951,23.64
330,0,-21.878,23.52
331,0,-21.037,23.22
332,-60.397,38.854,21.34
333,-46.916,28.133,19.52
334,-43.429,24.236,17.72
335,-13.75,-6.132,16.02
336,-11.973,-9.02,15.32
337,-14.596,-6.003,15.72
338,-14.712,-5.938,15.52
339,-15.788,-4.976,15.14
340,-16.011,-4.517,14.3
341,-16.508,-4.17,14.26
342,-18.189,-2.388,15.46
343,-19.812,-0.263,17.4
344,-19.97,-0.111,19.5
345,-1.566,-20.93,21.74
346,0,-22.018,23.5
347,0,-22.019,24.76
348,0,-21.917,25.88
349,-32.209,12.003,26.34
350,-28.358,8.304,26.76
351,-25.87,5.542,27.68
352,-24.307,3.887,28.54
353,-23.342,3.14,28.52
354,-22.011,1.488,27.66
355,-21.296,0.587,27.56
356,-20.885,0.241,27.76
357,-20.408,-0.113,27.94
358,-19.837,-0.329,27.76
359,-19.848,-0.108,27.76
360,-28.631,7.937,28.14
361,-44.071,25.203,27.88
362,-41.865,22.582,26.56
363,-41.38,22.658,25.74
364,-40.966,21.993,24.76
365,-37.293,17.781,22.6
366,-2.983,-18.349,20.08
367,-9.379,-11.359,19.06
368,-12.297,-8.432,19.54
369,-14.091,-6.656,20.36
370,-8.675,-13.212,21.48
371,0,-21.88,22.58
372,0,-21.989,23.88
373,0,-22.009,24.92
374,-28.096,3.705,25.02
375,-54.189,31.629,23.72
376,-47.973,25.028,21.92
377,-46.021,23.042,20.04
378,-44.847,21.471,17.44
379,-43.899,20.566,13.9
380,-43.125,20.116,11.52
381,-42.49,19.195,10.56
382,-41.463,17.852,8.94
383,-40.228,16.934,8.32
384,-38.87,15.48,7.26
385,-37.166,13.559,6.1
386,-35.164,11.552,4.46
387,-33.544,9.846,2.3
388,-29.648,7.954,0
389,-15.693,-5.124,0
390,0,-21.719,0
391,0,-21.754,0
392,0,-21.814,0
393,0,-21.826,0
394,0,-21.926,0
395,-26.653,6.121,0
396,-23.405,3.015,0
397,-22.075,1.312,1.66
398,-10.605,-10.295,5.7
399,0,-22.203,10.02
400,0,-22.24,12.92
401,-25.233,3.209,15.52
402,-25.528,5.773,17.2
403,0,-22.361,20.38
404,0,-22.295,23.08
405,-3.36,-20.994,25.24
406,-60.426,38.409,25.68
407,-50.318,27.62,24.12
408,-47.519,24.689,22.4
409,-46.069,23.07,20.42
410,-42.19,22.283,18.6
411,-36.546,16.693,16.94
412,0,-21.646,15.26
413,0,-21.809,14.46
414,0,-21.588,14.74
415,0,-21.702,14.46
416,0,-21.813,13.7
417,0,-21.869,13.72
418,0,-21.971,14.86
419,0,-22.038,16.44
420,0,-21.816,17.62
421,-38.501,18.52,17.92
422,0,-21.896,18.22
423,0,-22.018,18.7
424,-8.508,-14.189,17.82
425,0,-21.891,17.04
426,0,-21.861,16.5
427,0,-22.076,16.5
428,0,-23.055,17.5
429,0,-22.719,19.24
430,0,-23.352,22.38
431,0,-23.332,26.24
432,0,-23.836,27.46
433,0,-23.842,29.74
434,0,-23.956,31.58
435,-51.237,30.852,32.54
436,-57.8,37.553,32.1
437,-47.81,27.719,30.88
438,-53.015,30.823,30.32
439,-51.108,26.407,30.14
440,-50.767,26.294,30.04
441,-49.641,25.455,29
442,-48.814,24.182,25.62
443,-44.066,19.931,20.72
444,-37.446,12.808,15.68
445,-16.072,-9.615,10.34
446,0,-27.089,4.62
447,0,-26.688,0
448,0,-23.843,0
449,0,-23.6,0
450,0,-24.111,0
451,0,-23.801,0
452,0,-23.895,0
453,0,-23.824,0
454,0,-23.662,0
455,0,-23.871,0
456,0,-23.84,0
457,0,-24.17,0
458,0,-23.816,0
459,0,-24.187,0
460,0,-23.884,0
461,0,-24.082,0
462,0,-23.983,0
463,0,-23.829,0
464,0,-24.018,0
465,0,-23.982,0
466,0,-24.423,0
467,0,-24.111,0
468,0,-24.192,0
469,0,-24.045,0
470,0,-24.132,0
471,0,-24.07,0
472,0,-23.945,0
473,0,-24.018,0
474,0,-23.881,0
475,0,-24.365,0
476,0,-24.024,0
477,0,-24.367,0
478,0,-24.062,0
479,0,-24.117,0
480,0,-24.054,0
481,0,-23.915,0
482,0,-24.041,0
483,0,-24.009,0
484,0,-24.451,0
485,0,-24.121,0
486,0,-24.411,0
487,0,-24.124,0
488,0,-24.303,0
489,0,-24.143,0
490,0,-23.959,0
491,0,-24.142,0
492,0,-24.132,0
493,0,-24.606,0
494,0,-24.246,0
495,0,-24.529,0
496,0,-24.225,0
497,0,-24.559,0
498,0,-24.2,0
499,0,-24.083,0
500,0,-24.151,0
501,0,-24.106,0
502,0,-24.547,0
503,0,-24.206,0
504,0,-24.513,0
505,0,-24.18,0
506,0,-24.367,0
507,0,-24.165,0
508,0,-23.986,0
509,0,-24.131,0
510,0,-24.022,0
511,0,-24.473,0
512,0,-24.125,0
513,0,-24.594,0
514,0,-24.153,0
515,0,-24.192,0
516,0,-24.099,0
517,0,-24.256,2.5
518,0,-24.841,8.88
519,0,-24.827,12.88
520,0,-24.467,16.74
521,0,-24.596,17.4
522,0,-24.379,19.38
523,-54.088,31.952,20.64
524,-82.75,63.675,21
525,-72.484,53.203,19.52
526,-71.292,47.736,17.72
527,-62.783,38.804,15.9
528,-51.146,26.874,13.82
529,-30.41,4.996,12.4
530,-2.285,-24.841,8.96
531,0,-27.448,6.38
532,0,-27.863,2.26
533,0,-23.915,0
534,0,-24.373,0
535,0,-23.966,0
536,0,-23.962,0
537,0,-24.117,0
538,0,-23.79,0
539,0,-23.909,1.9
540,0,-24.535,4.86
541,0,-24.75,8.92
542,0,-25.101,12.1
543,0,-24.422,16.9
544,0,-24.554,18.34
545,0,-24.691,21.4
546,0,-24.265,23.2
547,-71.291,50.153,24.34
548,-73.547,53.994,23.74
549,-66.396,46.791,22.04
550,-62.692,42.766,20.22
551,-59.886,40.046,18.4
552,-54.123,34.133,16.62
553,-2.581,-21.943,15.24
554,0,-23.687,15.2
555,0,-24.161,15.52
556,0,-23.773,14.1
557,0,-23.945,13.16
558,0,-23.936,13.38
559,0,-23.63,13.52
560,0,-23.947,13.62
561,0,-24.037,13.62
562,0,-24.481,13.52
