times,alternator_currents,battery_currents,velocities
999,0,-25.959,0
1000,0,-25.857,0
1001,0,-25.891,0
1002,0,-25.904,0
1003,0,-25.873,0
1004,0,-25.934,0
1005,0,-25.89,0
1006,0,-25.929,0
1007,0,-25.972,0
1008,0,-25.939,0
1009,0,-25.927,0
1010,0,-25.949,0
1011,0,-26.035,0
1012,0,-25.998,0
1013,0,-25.961,0
1014,0,-25.947,0
1015,0,-25.994,0
1016,0,-25.997,0
1017,0,-25.994,0
1018,0,-26.003,0
1019,0,-26.011,0
1020,0,-25.973,0
1021,0,-25.989,0
1022,0,-25.962,0
1023,0,-26.006,0
1024,0,-25.961,0
1025,0,-22.372,0
1026,0,-22.303,0
1027,0,-22.294,0
1028,0,-22.188,0
1029,-3.769,-18.173,0
1030,-48.296,28.688,0
1031,-44.249,24.523,0
1032,-1.304,-20.279,4.3
1033,-0.703,-22.097,10.18
1034,-43.971,24.519,14.6
1035,0,-22.256,16.02
1036,-29.595,8.718,20.96
1037,0,-22.888,27.46
1038,-43.226,23.471,28.92
1039,-41.927,22.466,31.1
1040,-39.949,19.087,35.28
1041,-38.255,17.62,39.42
1042,-35.825,15.656,40.82
1043,-34.527,13.673,43.34
1044,-32.713,11.986,43.38
1045,-30.145,9.758,45.68
1046,-29.359,9.148,48.7
1047,-28.517,8.289,52.42
1048,-28.241,7.641,52.98
1049,-27.649,6.954,53.48
1050,-32.47,9.965,53.14
1051,-61.682,39.105,52.12
1052,-57.611,35.155,51.78
1053,-56.067,33.535,51.66
1054,-54.762,32.085,51.66
1055,-53.652,30.979,50.98
1056,-51.856,29.221,49.74
1057,-51.978,29.196,48.48
1058,-51.578,28.408,46.28
1059,-50.728,27.58,42.26
1060,-50.336,27.594,37.86
1061,-49.779,26.905,32.72
1062,-44.115,24.653,28.78
1063,-1.04,-19.924,22.98
1064,-3.522,-17.807,19.24
1065,-10.357,-10.717,15.38
1066,-14.509,-6.376,13.84
1067,-15.908,-4.902,12.76
1068,-9.559,-10.761,13.18
1069,0,-22.357,15.98
1070,0,-22.518,19.52
1071,-5.366,-17.916,22.4
1072,-30.249,9.608,24.98
1073,-10.42,-10.788,27.36
1074,-28.084,7.627,27.94
1075,-26.602,5.695,30.7
1076,-6.718,-16.05,34.82
1077,0,-22.363,35.84
1078,0,-22.084,41.04
1079,0,-22.511,45.74
1080,0,-22.382,49.94
1081,-37.619,17.414,50.8
1082,-35.168,14.346,55.78
1083,-45.722,26.528,56.38
1084,-52,32.775,58.82
1085,-47.947,28.343,61.3
1086,-20.648,0.181,62.1
1087,-19.075,-1.599,62.1
1088,-20.45,-0.241,61.16
1089,-20.628,-0.116,59.94
1090,-21.261,0.164,59.02
1091,-21.423,0.63,58.64
1092,-20.846,0,58.48
1093,-21.069,0,58.48
1094,-21.576,0.706,58.48
1095,-21.234,0.52,58.64
1096,-21.582,0.367,59.12
1097,-22.214,1.111,60.5
1098,-22.16,0.219,62.74
1099,-32.078,9.081,64.2
1100,-52.409,28.802,64.2
1101,-46.349,27.287,64
1102,-32.693,11.557,63.32
1103,-9.725,-10.949,62.1
1104,-14.658,-6.344,60.94
1105,-15.721,-5.088,59.62
1106,-17.522,-3.595,58.92
1107,-18.632,-2.534,58.92
1108,-19.133,-1.78,60.24
1109,-19.689,-0.453,62.32
1110,-49.224,29.961,64.38
1111,-42.594,23.327,64.5
1112,-10.423,-10.546,64.3
1113,-13.599,-7.461,63.76
1114,-16.045,-4.671,62.54
1115,-17.519,-3.299,61.42
1116,-19.92,-0.615,61.22
1117,-20.266,-0.635,62.58
1118,-20.654,-0.364,64.94
1119,-20.309,-0.258,68.02
1120,-48.567,29.178,69.54
1121,-19.619,-2.749,69.54
1122,-15.099,-6.189,68.5
1123,-25.2,4.668,67.34
1124,-50.626,27.533,66.7
1125,-48.893,25.687,66.42
1126,-48.129,24.832,66.04
1127,-47.465,24.488,65.14
1128,-47.245,23.691,63.44
1129,-46.825,23.688,60.38
1130,-46.347,23.251,56.68
1131,-45.683,23.074,52.88
1132,-45.866,22.869,48.7
1133,-45.657,22.472,44.72
1134,-45.279,21.731,40.7
1135,-44.986,22.028,35.68
1136,-42.818,21.689,31.74
1137,-41.018,21.512,27.84
1138,-11.879,-8.408,22.82
1139,0,-21.737,19.84
1140,-5.013,-16.268,17.62
1141,-8.778,-12.282,15.92
1142,-10.759,-10.075,14.4
1143,-14.101,-6.766,14
1144,-15.891,-5.069,15.04
1145,-18.159,-3.363,16.5
1146,0,-22.332,18.32
1147,0,-25.735,20.4
1148,-60.069,37.062,22.04
1149,-50.321,27.995,23.44
1150,-43.202,24.062,24.6
1151,-42.075,22.994,23.88
1152,-36.499,16.155,20.76
1153,-5.646,-15.345,16.46
1154,-11.53,-9.686,13.54
1155,-14.148,-7.001,12.84
1156,0,-22.187,14.24
1157,0,-22.098,18.08
1158,-21.498,1.356,21.64
1159,-4.418,-18.334,25.56
1160,0,-22.077,26.82
1161,-27.714,7.881,30.9
1162,-24.364,3.499,34.92
1163,-11.489,-8.826,36.04
1164,-24.703,4.619,38.54
1165,-12.81,-10.018,41.62
1166,-25.81,4.982,43.52
1167,-23.81,3.28,47.46
1168,-22.908,2.342,50.88
1169,-22.258,1.684,53.5
1170,-21.097,0.902,54.76
1171,-21.223,0.539,57.28
1172,-21.208,0.285,59.52
1173,-21.43,0,61.66
1174,-21.265,0.543,62.7
1175,-20.991,0.246,63.4
1176,-13.093,-6.715,64.08
1177,0,-21.649,65.44
1178,0,-21.754,67.64
1179,0,-21.876,69.36
1180,0,-21.919,70.32
1181,0,-21.891,71.16
1182,0,-21.869,71.74
1183,0,-21.926,72.42
1184,0,-21.947,73.12
1185,0,-22.039,73.94
1186,0,-21.945,74.72
1187,0,-21.975,75.64
1188,0,-21.941,76.54
1189,0,-21.958,77.46
1190,0,-21.963,77.94
1191,0,-22.198,78.34
1192,0,-22.044,79.02
1193,0,-22.044,79.84
1194,0,-22.035,80.54
1195,0,-21.981,81.3
1196,0,-21.998,81.94
1197,0,-22.076,82.44
1198,0,-22.37,82.82
1199,0,-22.488,83.2
1200,0,-22.705,83.68
1201,0,-22.792,84.18
1202,0,-22.762,84.66
1203,0,-22.866,85.34
1204,0,-22.812,85.98
1205,0,-22.856,86.66
1206,0,-22.852,87.26
1207,0,-21.769,87.88
1208,0,-19.606,88.38
1209,0,-20.587,88.66
1210,0,-22.763,88.96
1211,0,-22.846,89.14
1212,0,-22.914,89.34
1213,0,-22.946,89.56
1214,0,-22.922,89.96
1215,0,-22.916,90.28
1216,0,-22.952,90.62
1217,0,-22.976,90.94
1218,0,-23.058,91.4
1219,0,-23.039,91.92
1220,0,-23.113,92.36
1221,0,-22.968,92.66
1222,0,-22.918,92.84
1223,0,-22.948,92.94
1224,0,-22.996,93.24
1225,0,-22.963,93.72
1226,0,-23.001,93.92
1227,0,-22.921,94.16
1228,0,-22.989,94.28
1229,0,-23.09,94.26
1230,0,-23.094,94.36
1231,0,-23.044,94.46
1232,0,-23.087,94.56
1233,0,-23.17,94.66
1234,0,-23.197,94.86
1235,0,-23.157,95.06
1236,0,-23.148,95.34
1237,0,-23.241,95.64
1238,0,-23.078,95.82
1239,0,-22.974,95.94
1240,0,-23.012,96.18
1241,0,-23.04,96.28
1242,0,-23.102,96.48
1243,0,-23.111,96.58
1244,0,-23.104,96.76
1245,0,-23.043,96.86
1246,0,-23.065,97.06
1247,0,-23.017,97.26
1248,0,-23.054,97.46
1249,0,-23.066,97.54
1250,0,-23.082,97.54
1251,0,-23.081,97.54
1252,0,-23.089,97.54
1253,0,-23.031,97.36
1254,0,-23.095,97.16
1255,0,-23.168,97.16
1256,0,-23.036,97.16
1257,0,-23.051,97.26
1258,0,-23.043,97.26
1259,0,-23.127,97.26
1260,0,-23.349,97.26
1261,0,-23.313,97.16
1262,0,-23.331,96.76
1263,0,-23.36,96.28
1264,0,-23.393,95.84
1265,0,-23.439,95.44
1266,0,-23.41,95.34
1267,0,-23.409,95.34
1268,0,-23.334,95.34
1269,0,-23.378,95.34
1270,0,-23.343,95.24
1271,0,-23.292,95.16
1272,0,-23.305,94.76
1273,0,-23.424,94.56
1274,0,-23.414,94.46
1275,0,-23.328,94.28
1276,0,-23.357,94.26
1277,0,-23.467,93.94
1278,0,-23.628,93.54
1279,0,-23.672,93.14
1280,0,-23.647,92.58
1281,0,-23.711,92.1
1282,0,-30.286,91.52
1283,0,-30.185,91.04
1284,0,-30.133,90.46
1285,0,-30.042,89.84
1286,0,-29.954,89.16
1287,0,-29.877,88.38
1288,-57.846,31.801,87.64
1289,-55.388,28.36,86.86
1290,-50.335,23.426,86.18
1291,-48.254,20.897,85.44
1292,-45.79,18.492,84.76
1293,-43.393,16.019,84.08
1294,-42.821,15.622,83.44
1295,-41.401,14.117,82.86
1296,-40.194,12.894,82.26
1297,-37.946,10.887,81.78
1298,-37.108,9.966,81.14
1299,-36.513,9.144,80.66
1300,-35.649,8.629,80.18
1301,-35.408,7.83,79.76
1302,-35.634,8.325,79.46
1303,-35.511,8.45,79.16
1304,-35.025,7.968,78.84
1305,-35.294,8.064,78.44
1306,-33.182,6.062,78.14
1307,-32.895,5.928,77.76
1308,-32.924,5.885,77.22
1309,-31.244,4.446,76.82
1310,-31.532,4.463,76.34
1311,-31.228,4.7,76.14
1312,-32.555,5.742,75.94
1313,-32.308,5.518,75.84
1314,-31.945,5.152,75.74
1315,-31.59,4.663,75.54
1316,-30.894,3.85,75.46
1317,-31.193,3.793,75.34
1318,-30.599,3.655,75.12
1319,-29.916,3.46,74.94
1320,-30.794,4.4,74.64
1321,-31.924,5.071,74.24
1322,-30.932,4.646,73.84
1323,0,-28.216,73.66
1324,0,-28.148,73.66
1325,0,-28.295,74.04
1326,0,-28.237,74.82
1327,0,-28.247,75.94
1328,0,-28.331,76.92
1329,0,-28.286,78.14
1330,0,-28.378,79.58
1331,0,-28.294,80.64
1332,0,-28.328,81.04
1333,0,-28.358,81.04
1334,0,-23.355,80.94
1335,0,-23.313,80.84
1336,0,-22.506,80.84
1337,-52.252,31.788,80.74
1338,-47.033,26.494,80.64
1339,-42.799,21.977,80.44
1340,-40.527,19.931,80.36
1341,-37.5,16.703,80.26
1342,-35.563,14.942,80.06
1343,-33.633,12.684,79.96
1344,-31.533,10.535,79.86
1345,-30.709,9.651,79.86
1346,-30.144,8.988,80.06
1347,-29.475,8.008,80.54
1348,-28.806,7.591,81.12
1349,-28.531,6.936,81.68
1350,-28.268,6.492,82.26
1351,-28.56,6.626,82.66
1352,-47.754,26.776,82.66
1353,-64.643,42.283,82.66
1354,-63.032,39.745,82.16
1355,-61.098,38.009,81.68
1356,-60.074,36.195,80.54
1357,-58.763,35.186,78.64
1358,-58.182,34.662,76.32
1359,-53.648,33.969,73.94
1360,-52.642,33.088,71.94
1361,-52.351,32.746,70.34
1362,-51.923,32.16,68.74
1363,-39.527,20.21,66.34
1364,0,-22.34,64.24
1365,-8.449,-14.501,62.52
1366,-13.389,-7.868,61.04
1367,-16.608,-5.673,60.04
1368,-21.414,-0.93,59.7
1369,-60.514,36.904,60.2
1370,-53.297,34.043,61.7
1371,-50.356,30.208,63.02
1372,-4.728,-18.567,62.48
1373,-9.736,-12.11,61.42
1374,-14.067,-7.473,60.2
1375,-21.862,-0.968,59.02
1376,-58.62,35.2,58.08
1377,-56.007,32.143,57.8
1378,-54.269,30.376,57.4
1379,-53.105,29.629,56.52
1380,-53.487,29.766,54.52
1381,-49.469,29.582,50.68
1382,-45.922,25.873,45.46
1383,0,-22.906,40.96
1384,-6.554,-15.209,36.68
1385,0,-23.198,31.26
1386,-6.597,-16.877,28.46
1387,-21.992,0.102,28.02
1388,-21.437,0,30.04
1389,-21.419,0,34.34
1390,-11.577,-9.942,36.64
1391,-4.158,-19.934,38.24
1392,-24.909,3.784,41.04
1393,-11.48,-13.038,44.96
1394,-25.397,3.978,45.98
1395,-24.3,2.783,49.46
1396,-23.672,1.782,52.32
1397,-22.989,1.833,52.4
1398,-55.211,35.272,53.18
1399,-51.259,31.601,54.52
1400,-50.438,30.986,55.3
1401,-49.555,29.657,55.4
1402,-52.823,28.939,54.9
1403,-52.33,28.395,53.88
1404,-52.003,28.16,51.5
1405,-50.846,27.333,49.38
1406,-51.061,27.449,47.86
1407,-47.257,27.192,45.9
1408,-46.913,26.851,42.02
1409,-7.784,-13.801,36.9
1410,-0.612,-22.127,32.24
1411,-9.526,-12.576,29.36
1412,-12.67,-9.248,28.14
1413,-14.781,-7.338,27.94
1414,-16.44,-5.144,28.34
1415,-17.474,-5.203,28.44
1416,-17.345,-4.407,27.66
1417,-7.071,-16.797,26.42
1418,-3.76,-18.017,26.34
1419,-23.839,1.676,28.14
1420,-22.502,0.147,31.94
1421,-24.862,-0.213,35.32
1422,-57.378,33.54,36.64
1423,-52.632,28.807,39.76
1424,-47.605,27.477,41.42
1425,-4.897,-16.687,40.86
1426,0,-23.198,39.34
1427,-5.453,-17.665,36.68
1428,-21.77,-0.127,35
1429,-20.5,-1.058,35.82
1430,-23.504,-1.017,36.32
1431,-51.348,27.404,38.74
1432,-53.136,29.454,41.42
1433,-51.391,27.217,42.26
1434,-50.166,26.597,42.06
1435,-50.762,26.779,39.86
1436,-45.839,26.208,35.76
1437,-5.892,-17.83,31
1438,-7.627,-14.484,26.62
1439,-11.934,-10.156,21.54
1440,0,-23.049,19.84
1441,-0.325,-24.671,20.72
1442,-60.11,36.682,22.44
1443,-48.16,28.61,23.86
1444,-36.049,15.356,23.36
1445,-8.976,-13.406,21.94
1446,-13.355,-8.305,20.34
1447,-47.816,22.292,18.86
1448,-51.184,27.199,17.44
1449,-49.742,25.238,17.72
1450,-48.037,24.335,18.58
1451,-46.767,23.05,18.62
1452,-45.71,21.713,15.62
1453,-44.395,19.738,10.3
1454,-42.718,18.841,5.78
1455,-29.373,4.021,1.96
1456,-4.549,-22.027,0
1457,0,-26.554,0
1458,0,-26.574,0
1459,0,-26.585,0
1460,0,-26.561,0
1461,0,-26.617,0
1462,0,-26.667,0
1463,0,-26.731,0
1464,0,-26.737,0
1465,0,-26.735,0
1466,0,-26.72,0
1467,0,-26.696,0
1468,0,-26.739,0
1469,0,-23.061,0
1470,0,-24.119,0
1471,0,-31.499,0
1472,0,-32.947,0
1473,0,-31.641,0
1474,0,-34.331,0
1475,0,-23.173,0
1476,0,-23.164,0
1477,0,-23.112,0
1478,-0.345,-23.396,0
1479,-37.662,15.553,0
1480,-4.955,-18.255,0
1481,0,-23.057,0
1482,0,-23.242,0
1483,-34.325,11.47,0
1484,-41.285,19.927,3.38
1485,-21.015,-1.109,5.38
1486,0,-23.34,6.7
1487,0,-23.408,7.2
1488,-5.784,-18.146,9.3
1489,-37.395,15.769,11.6
1490,0,-23.514,13.7
1491,-7.962,-12.193,14.3
1492,-40.048,19.535,16.9
1493,-4.884,-18.35,19.84
1494,0,-23.134,24.92
1495,-39.872,19.527,26.14
1496,-36.855,15.304,29.56
1497,-34.198,13.269,33.74
1498,-32.87,12.224,36.92
1499,-31.918,10.663,39.02
1500,-30.939,9.098,42.94
1501,-30.055,8.855,44.16
1502,-28.718,7.351,45.98
1503,-27.763,6.351,48.08
1504,-26.49,4.688,51.38
1505,-25.871,4.408,51.28
1506,-25.764,4.302,52.16
1507,-25.328,4.201,52.6
1508,-25.491,3.98,52.8
1509,-21.655,3.931,52.9
1510,-22.701,3.943,53.1
1511,-23.1,2.325,53.48
1512,-23.925,2.224,54.48
1513,-23.528,2.424,56.12
1514,-23.728,2.271,57.98
1515,-23.533,2.111,59.5
1516,-23.414,2.131,60.84
1517,-19.887,-3.177,62.4
1518,0,-22.673,64.7
1519,0,-22.602,67.04
1520,0,-22.869,68.8
1521,0,-23.062,69.84
1522,0,-23.191,70.52
1523,0,-23.402,71.26
1524,0,-23.103,72.14
1525,-63.744,38.149,73.26
1526,-64.712,41.709,74.04
1527,-58.656,35.151,74.04
1528,-55.964,32.353,73.66
1529,-54.446,30.743,72.62
1530,-53.121,29.74,71.26
1531,-49.057,28.87,69.64
1532,-41.28,20.407,67.54
1533,0,-22.918,64.64
1534,0,-22.773,62.52
1535,0,-23.609,61.02
1536,0,-23.078,59.9
1537,0,-23.182,59.9
1538,0,-22.959,60
1539,0,-22.933,61.22
1540,0,-23.904,63.52
1541,0,-22.906,66.2
1542,0,-22.723,70.14
1543,0,-23.068,74.62
1544,0,-23.229,78.44
1545,0,-23.658,78.34
1546,0,-23.032,79.66
1547,0,-22.767,82.36
1548,0,-23.057,85.14
1549,0,-23.088,87.16
1550,0,-23.143,87.88
1551,0,-23.534,88.38
1552,0,-23.07,88.84
1553,0,-23.134,89.98
1554,0,-23.19,91.2
1555,0,-22.994,92.44
1556,0,-23.217,93.2
1557,0,-22.96,93.72
1558,0,-23.214,94.56
1559,0,-22.95,95.34
1560,0,-23.466,96.28
1561,0,-22.88,97.24
1562,0,-22.844,98.86
1563,0,-23.382,100.86
1564,0,-23.682,102.78
1565,0,-22.864,104.6
1566,0,-22.981,106.16
1567,0,-23.739,107.68
1568,0,-23.125,109.1
1569,0,-23.065,110.36
1570,0,-23.104,111.98
1571,0,-22.863,113.4
1572,0,-23.438,114.68
1573,0,-23.561,116.18
1574,0,-23.053,117.8
1575,0,-22.974,118.98
1576,-0.154,-22.738,119.9
1577,-53.196,32.537,120.68
1578,-48.578,27.451,121.54
1579,-44.125,23.096,122.32
1580,-41.861,20.706,123.2
1581,-39.37,17.979,123.82
1582,-37.288,16.076,123.72
1583,-34.499,13.068,123.34
1584,-33.589,11.896,122.8
1585,-32.355,10.729,122.42
1586,-30.568,8.657,122.02
1587,-30.115,8.155,121.62
1588,-29.767,7.681,121
1589,-28.855,7.416,120.3
1590,-28.662,6.991,119.42
1591,-28.271,6.531,118.4
1592,-27.724,6.264,117.42
1593,-27.762,6.083,116.3
1594,-27.416,5.509,115.5
1595,-26.254,4.263,114.86
1596,-25.856,4.138,114.28
1597,-25.935,4.328,114.08
1598,-25.859,4.165,113.92
1599,-25.959,3.933,113.8
1600,-25.975,4.126,113.5
1601,-26.684,4.877,113.02
1602,-26.526,4.635,112.38
1603,-26.522,4.564,111.6
1604,-25.127,3.204,110.82
1605,-24.862,3.129,109.88
1606,-24.843,3.058,109.1
1607,-24.757,3.18,108.36
1608,-24.714,3.054,107.88
1609,-25.001,3.33,107.58
1610,-25.898,4.216,107.28
1611,-25.695,4.086,107.1
1612,-25.693,3.89,106.8
1613,-25.119,3.665,106.46
1614,-24.097,2.467,106.16
1615,-24.132,2.308,106.16
1616,-23.735,2.325,106.34
1617,-24.203,2.51,106.98
1618,-24.092,2.602,107.78
1619,0,-22.741,108.72
1620,0,-22.673,109.58
1621,0,-23.194,110.46
1622,0,-23.095,111.5
1623,0,-23.11,112.58
1624,0,-23.79,113.7
1625,0,-23.376,114.78
1626,0,-23.441,115.6
1627,0,-23.868,116
1628,-13.336,-10.878,116.4
1629,-73.422,54.142,116.58
1630,-53.84,34.276,116.2
1631,0,-23.477,115.42
1632,0,-23.506,113.9
1633,0,-23.156,111.88
1634,0,-23.422,109.78
1635,0,-23.4,107.98
1636,0,-23.311,106.8
1637,0,-23.261,105.86
1638,0,-23.584,105.48
1639,0,-23.484,105.38
1640,0,-23.398,105.38
1641,0,-23.269,105.48
1642,-43.213,21.48,105.48
1643,-45.969,25.544,105.08
1644,-41.27,20.584,104.44
1645,-38.729,17.954,103.86
1646,-36.52,15.402,103.36
1647,-34.21,13.145,103.26
1648,-33.72,12.82,103.66
1649,-32.449,11.174,104.68
1650,-31.39,9.913,106.16
1651,-29.616,8.098,107.38
1652,-28.381,7.145,108.7
1653,-28.287,6.744,110.18
1654,-27.661,6.534,111.78
1655,-27.503,6.006,113.1
1656,-27.198,5.747,114.38
1657,-26.566,5.575,115.02
1658,-26.563,5.311,115.6
1659,-26.024,4.736,116.38
1660,-25.492,3.65,117.32
1661,-24.971,3.609,118.18
1662,-25.225,3.638,118.98
1663,-24.726,3.499,119.92
1664,-25.577,4.534,120.7
1665,-25.715,4.372,121.72
1666,-25.356,4.087,122.42
1667,-25.237,4.125,122.9
1668,-25.052,3.888,123.44
1669,-24.433,2.744,124.02
1670,-24.168,2.642,124.52
1671,-24.344,2.632,125.1
1672,-24.424,2.743,125.54
1673,-24.483,2.759,125.92
1674,-24.308,2.692,126.12
1675,-25.251,3.875,126.32
1676,-25.123,3.567,126.52
1677,-24.971,3.434,126.7
1678,-25.032,3.242,126.9
1679,-23.924,1.989,127
1680,-23.816,2.169,127
1681,-23.9,2.198,126.9
1682,-23.686,2.386,126.6
1683,-23.785,2.365,126.22
1684,-23.779,2.504,125.82
1685,-24.795,3.324,125.44
1686,-24.576,3.256,125.28
1687,-24.846,2.965,125.44
1688,-23.108,1.633,125.82
1689,-23.47,1.759,126.42
1690,-23.372,1.889,127
1691,-23.4,2.007,127.54
1692,-23.325,1.889,128.02
1693,-23.477,1.918,128.22
1694,-24.572,3.005,128.32
1695,-24.284,2.967,128.32
1696,-24.453,2.776,128.22
1697,-21.984,0.947,128.22
1698,0,-23.276,128.22
1699,0,-23.026,128.12
1700,0,-23.355,128.12
1701,0,-23.19,128.12
1702,0,-23.23,128.22
1703,0,-23.467,128.32
1704,0,-23.233,128.42
1705,0,-23.176,128.62
1706,0,-23.482,128.32
1707,0,-23.216,127.84
1708,0,-23.209,127.3
1709,0,-23.363,127.1
1710,0,-23.084,127
1711,0,-22.889,127.2
1712,0,-22.766,127.2
1713,0,-23.259,127.1
1714,-39.519,17.513,127
1715,-47.218,27.002,127
1716,-42.465,21.89,127.1
1717,-39.952,19.159,127.4
1718,-37.282,16.239,127.94
1719,-34.875,13.891,128.42
1720,-32.219,11.28,129.02
1721,-30.6,9.689,129.64
1722,-30.126,8.652,130.24
1723,-29.322,7.799,130.82
1724,-28.694,7.162,131.12
1725,-28.023,6.479,131.4
1726,-28.072,5.893,131.5
1727,-26.516,4.434,131.4
1728,-30.193,6.546,131.1
1729,-68.026,37.755,130.82
1730,-63.861,33.7,130.52
1731,-69.157,31.733,130.14
1732,-51.297,31.278,128.22
1733,-53.967,30.158,125.82
1734,-53.584,29.852,123.44
1735,-52.928,29.097,121
1736,-52.432,28.676,118.58
1737,-52.248,28.295,116.28
1738,-51.34,27.741,113.98
1739,-51.069,27.373,111.78
1740,-50.791,27.071,109.68
1741,-50.499,26.982,107.58
1742,-48.422,26.748,105.38
1743,-46.199,26.532,103.26
1744,-42.27,21.317,101.26
1745,0,-22.704,99.36
1746,0,-22.784,97.64
1747,0,-22.801,96.56
1748,0,-22.847,95.34
1749,0,-22.868,94.36
1750,0,-22.861,93.24
1751,0,-22.948,91.82
1752,0,-22.885,90.64
1753,0,-22.65,89.84
1754,0,-22.72,89.14
1755,0,-22.712,88.46
1756,0,-22.7,87.88
1757,0,-22.786,87.24
1758,0,-22.885,86.76
1759,0,-23.025,86.46
1760,0,-23.011,86.18
1761,0,-23.033,85.78
1762,0,-23.078,85.34
1763,0,-23.091,84.86
1764,-8.147,-12.492,84.36
1765,-72.705,53.578,83.76
1766,-62.5,43.238,83.24
1767,-61.578,38.355,82.64
1768,-58.618,35.277,82.06
1769,-56.44,33.128,81.58
1770,-54.904,31.533,80.84
1771,-53.761,30.3,79.66
1772,-52.638,29.159,78.14
1773,-51.824,28.297,76.52
1774,-51.18,27.692,73.46
1775,-50.869,27.378,70.02
1776,-50.329,26.704,66.94
1777,-49.544,26.002,64.2
1778,-49.622,26.158,61.42
1779,-49.25,25.776,58.62
1780,-49.026,25.346,55.78
1781,-48.625,24.751,52.98
1782,-46.937,25.248,50.4
1783,-44.934,24.682,47.34
1784,-48.098,24.419,44.08
1785,-47.92,24.142,39.22
1786,-47.47,23.607,35.66
1787,-47.233,23.487,33.44
1788,-47.256,23.8,32.02
1789,-47.366,23.581,30.7
1790,-47.148,23.3,28.54
1791,-45.47,21.812,26.42
1792,-37.934,13.681,23.64
1793,-18.514,-6.336,21.94
1794,0,-26.145,18.86
1795,0,-23.196,14.74
1796,0,-22.488,11.02
1797,0,-22.522,7.1
1798,0,-22.553,2.88
1799,0,-22.589,0
