Time;OBD Alternator currents;OBD Battery currents;OBD Engine load percentage;OBD velocity
1366;-60,514;36,904;37,3;60,2
1367;-53,297;34,043;6,7;61,7
1368;-50,356;30,208;0;63,02
1369;-4,728;-18,567;0;62,48
1370;-9,736;-12,11;0;61,42
1371;-14,067;-7,473;16,5;60,2
1372;-21,862;-0,968;22,7;59,02
1373;-58,62;35,2;24,3;58,08
1374;-56,007;32,143;5,1;57,8
1375;-54,269;30,376;0;57,4
1376;-53,105;29,629;0;56,52
1377;-53,487;29,766;3,9;54,52
1378;-49,469;29,582;18,8;50,68
1379;-45,922;25,873;0;45,46
1380;0;-22,906;12,5;40,96
1381;-6,554;-15,209;0;36,68
1382;0;-23,198;24,3;31,26
1383;-6,597;-16,877;55,3;28,46
1384;-21,992;0,102;49;28,02
1385;-21,437;0;25,5;30,04
1386;-21,419;0;34,1;34,34
1387;-11,577;-9,942;61,6;36,64
1388;-4,158;-19,934;79,2;38,24
1389;-24,909;3,784;92,2;41,04
1390;-11,48;-13,038;23,9;44,96
1391;-25,397;3,978;95,3;45,98
1392;-24,3;2,783;12,9;49,46
1393;-23,672;1,782;40;52,32
1394;-22,989;1,833;48,6;52,4
1395;-55,211;35,272;28,6;53,18
1396;-51,259;31,601;7,8;54,52
1397;-50,438;30,986;0,4;55,3
1398;-49,555;29,657;0,8;55,4
1399;-52,823;28,939;0,8;54,9
1400;-52,33;28,395;12,5;53,88
1401;-52,003;28,16;0;51,5
1402;-50,846;27,333;0;49,38
1403;-51,061;27,449;0;47,86
1404;-47,257;27,192;6,7;45,9
1405;-46,913;26,851;0;42,02
1406;-7,784;-13,801;0;36,9
1407;-0,612;-22,127;0;32,24
1408;-9,526;-12,576;10,6;29,36
1409;-12,67;-9,248;20,4;28,14
1410;-14,781;-7,338;17,6;27,94
1411;-16,44;-5,144;11,4;28,34
1412;-17,474;-5,203;2,7;28,44
1413;-17,345;-4,407;18,4;27,66
1414;-7,071;-16,797;46,7;26,42
1415;-3,76;-18,017;60,8;26,34
1416;-23,839;1,676;43,1;28,14
1417;-22,502;0,147;37,3;31,94
1418;-24,862;-0,213;66,3;35,32
1419;-57,378;33,54;51,8;36,64
1420;-52,632;28,807;7,8;39,76
1421;-47,605;27,477;0;41,42
1422;-4,897;-16,687;0;40,86
1423;0;-23,198;11,4;39,34
1424;-5,453;-17,665;18;36,68
1425;-21,77;-0,127;36,5;35
1426;-20,5;-1,058;57,6;35,82
1427;-23,504;-1,017;64,3;36,32
1428;-51,348;27,404;32,5;38,74
1429;-53,136;29,454;12,5;41,42
1430;-51,391;27,217;1,2;42,26
1431;-50,166;26,597;0;42,06
1432;-50,762;26,779;0,8;39,86
1433;-45,839;26,208;9,8;35,76
1434;-5,892;-17,83;0;31
1435;-7,627;-14,484;0;26,62
1436;-11,934;-10,156;13,3;21,54
1437;0;-23,049;22;19,84
1438;-0,325;-24,671;20,4;20,72
1439;-60,11;36,682;16,1;22,44
1440;-48,16;28,61;1,6;23,86
1441;-36,049;15,356;0;23,36
1442;-8,976;-13,406;0;21,94
1443;-13,355;-8,305;3,9;20,34
1444;-47,816;22,292;18;18,86
1445;-51,184;27,199;20,8;17,44
1446;-49,742;25,238;1,2;17,72
1447;-48,037;24,335;1,2;18,58
1448;-46,767;23,05;16,5;18,62
1449;-45,71;21,713;16,1;15,62
1450;-44,395;19,738;14,9;10,3
1451;-42,718;18,841;14,9;5,78
1452;-29,373;4,021;15,7;1,96
1453;-4,549;-22,027;15,7;0
1454;0;-26,554;15,7;0
1455;0;-26,574;14,1;0
1456;0;-26,585;12,9;0
1457;0;-26,561;13,3;0
1458;0;-26,617;13,3;0
1459;0;-26,667;13,3;0
1460;0;-26,731;12,9;0
1461;0;-26,737;13,3;0
1462;0;-26,735;13,3;0
1463;0;-26,72;13,3;0
1464;0;-26,696;13,3;0
1465;0;-26,739;13,3;0
1466;0;-23,061;13,3;0
1467;0;-24,119;13,3;0
1468;0;-31,499;13,7;0
1469;0;-32,947;13,7;0
1470;0;-31,641;13,7;0
1471;0;-34,331;13,7;0
1472;0;-23,173;13,3;0
1473;0;-23,164;13,3;0
1474;0;-23,112;13,3;0
1475;-0,345;-23,396;13,3;0
1476;-37,662;15,553;13,3;0
1477;-4,955;-18,255;51;0
1478;0;-23,057;11,4;0
1479;0;-23,242;28,2;0
1480;-34,325;11,47;25,1;0
1481;-41,285;19,927;27,1;3,38
1482;-21,015;-1,109;22;5,38
1483;0;-23,34;21,2;6,7
1484;0;-23,408;17,6;7,2
1485;-5,784;-18,146;18;9,3
1486;-37,395;15,769;6,3;11,6
1487;0;-23,514;19,2;13,7
1488;-7,962;-12,193;45,5;14,3
1489;-40,048;19,535;51,8;16,9
1490;-4,884;-18,35;3,9;19,84
1491;0;-23,134;62;24,92
1492;-39,872;19,527;77,3;26,14
1493;-36,855;15,304;15,3;29,56
1494;-34,198;13,269;50,6;33,74
1495;-32,87;12,224;81,2;36,92
1496;-31,918;10,663;25,1;39,02
1497;-30,939;9,098;70,2;42,94
1498;-30,055;8,855;78,8;44,16
1499;-28,718;7,351;47,8;45,98
1500;-27,763;6,351;39,6;48,08
1501;-26,49;4,688;25,9;51,38
1502;-25,871;4,408;34,5;51,28
1503;-25,764;4,302;40;52,16
1504;-25,328;4,201;43,9;52,6
1505;-25,491;3,98;49;52,8
1506;-21,655;3,931;55,7;52,9
1507;-22,701;3,943;56,1;53,1
1508;-23,1;2,325;59,2;53,48
1509;-23,925;2,224;60,8;54,48
1510;-23,528;2,424;69,8;56,12
1511;-23,728;2,271;69,8;57,98
1512;-23,533;2,111;67,1;59,5
1513;-23,414;2,131;63,9;60,84
1514;-19,887;-3,177;61,2;62,4
1515;0;-22,673;59,6;64,7
1516;0;-22,602;62,7;67,04
1517;0;-22,869;46,3;68,8
1518;0;-23,062;41,6;69,84
1519;0;-23,191;46,7;70,52
1520;0;-23,402;46,3;71,26
1521;0;-23,103;33,3;72,14
1522;-63,744;38,149;22,7;73,26
1523;-64,712;41,709;19,2;74,04
1524;-58,656;35,151;2,7;74,04
1525;-55,964;32,353;0;73,66
1526;-54,446;30,743;0;72,62
1527;-53,121;29,74;0;71,26
1528;-49,057;28,87;0;69,64
1529;-41,28;20,407;0;67,54
1530;0;-22,918;0;64,64
1531;0;-22,773;7,1;62,52
1532;0;-23,609;15,3;61,02
1533;0;-23,078;18;59,9
1534;0;-23,182;30,2;59,9
1535;0;-22,959;59,2;60
1536;0;-22,933;69,8;61,22
1537;0;-23,904;89;63,52
1538;0;-22,906;99,2;66,2
1539;0;-22,723;88,2;70,14
1540;0;-23,068;31,8;74,62
1541;0;-23,229;49,4;78,44
1542;0;-23,658;96,5;78,34
1543;0;-23,032;100;79,66
1544;0;-22,767;78,4;82,36
1545;0;-23,057;46,7;85,14
1546;0;-23,088;38,4;87,16
1547;0;-23,143;49,8;87,88
1548;0;-23,534;55,3;88,38
1549;0;-23,07;53,7;88,84
1550;0;-23,134;51,8;89,98
1551;0;-23,19;49,4;91,2
1552;0;-22,994;47,8;92,44
1553;0;-23,217;48,6;93,2
1554;0;-22,96;54,1;93,72
1555;0;-23,214;62;94,56
1556;0;-22,95;71,4;95,34
1557;0;-23,466;73,3;96,28
1558;0;-22,88;60,4;97,24
1559;0;-22,844;63,9;98,86
1560;0;-23,382;67,8;100,86
1561;0;-23,682;75,7;102,78
1562;0;-22,864;80,4;104,6
1563;0;-22,981;79,6;106,16
1564;0;-23,739;72,5;107,68
1565;0;-23,125;71;109,1
1566;0;-23,065;71,8;110,36
1567;0;-23,104;74,5;111,98
1568;0;-22,863;69,8;113,4
1569;0;-23,438;69;114,68
1570;0;-23,561;68,2;116,18
1571;0;-23,053;67,8;117,8
1572;0;-22,974;67,5;118,98
1573;-0,154;-22,738;67,1;119,9
1574;-53,196;32,537;66,7;120,68
1575;-48,578;27,451;66,7;121,54
1576;-44,125;23,096;42,7;122,32
1577;-41,861;20,706;37,6;123,2
1578;-39,37;17,979;38;123,82
1579;-37,288;16,076;40;123,72
1580;-34,499;13,068;40,8;123,34
1581;-33,589;11,896;41,6;122,8
1582;-32,355;10,729;42,4;122,42
1583;-30,568;8,657;42,4;122,02
1584;-30,115;8,155;32,5;121,62
1585;-29,767;7,681;25,9;121
1586;-28,855;7,416;21,2;120,3
1587;-28,662;6,991;21,2;119,42
1588;-28,271;6,531;23,5;118,4
1589;-27,724;6,264;26,3;117,42
1590;-27,762;6,083;35,7;116,3
1591;-27,416;5,509;38;115,5
1592;-26,254;4,263;39,2;114,86
1593;-25,856;4,138;40;114,28
1594;-25,935;4,328;38,4;114,08
1595;-25,859;4,165;34,1;113,92
1596;-25,959;3,933;28,6;113,8
1597;-25,975;4,126;28,2;113,5
1598;-26,684;4,877;25,9;113,02
1599;-26,526;4,635;22;112,38
1600;-26,522;4,564;22,4;111,6
1601;-25,127;3,204;22,4;110,82
1602;-24,862;3,129;22,7;109,88
1603;-24,843;3,058;23,9;109,1
1604;-24,757;3,18;24,3;108,36
1605;-24,714;3,054;28,6;107,88
1606;-25,001;3,33;42,4;107,58
1607;-25,898;4,216;43,1;107,28
1608;-25,695;4,086;43,5;107,1
1609;-25,693;3,89;46,3;106,8
1610;-25,119;3,665;42,4;106,46
1611;-24,097;2,467;47,5;106,16
1612;-24,132;2,308;49,8;106,16
1613;-23,735;2,325;63,9;106,34
1614;-24,203;2,51;67,8;106,98
1615;-24,092;2,602;64,7;107,78
1616;0;-22,741;58;108,72
1617;0;-22,673;57,6;109,58
1618;0;-23,194;57,3;110,46
1619;0;-23,095;57,6;111,5
1620;0;-23,11;59,6;112,58
1621;0;-23,79;65,1;113,7
1622;0;-23,376;63,1;114,78
1623;0;-23,441;60,4;115,6
1624;0;-23,868;33,3;116
1625;-13,336;-10,878;26,7;116,4
1626;-73,422;54,142;25,5;116,58
1627;-53,84;34,276;8,2;116,2
1628;0;-23,477;0;115,42
1629;0;-23,506;0;113,9
1630;0;-23,156;11,8;111,88
1631;0;-23,422;15,3;109,78
1632;0;-23,4;18,4;107,98
1633;0;-23,311;28,2;106,8
1634;0;-23,261;38,8;105,86
1635;0;-23,584;41,2;105,48
1636;0;-23,484;41,2;105,38
1637;0;-23,398;41,2;105,38
1638;0;-23,269;41,2;105,48
1639;-43,213;21,48;28,6;105,48
1640;-45,969;25,544;26,3;105,08
1641;-41,27;20,584;28,2;104,44
1642;-38,729;17,954;37,6;103,86
1643;-36,52;15,402;52,9;103,36
1644;-34,21;13,145;65,5;103,26
1645;-33,72;12,82;66,7;103,66
1646;-32,449;11,174;69;104,68
1647;-31,39;9,913;69,8;106,16
1648;-29,616;8,098;71,4;107,38
1649;-28,381;7,145;66,7;108,7
1650;-28,287;6,744;65,1;110,18
1651;-27,661;6,534;60,8;111,78
1652;-27,503;6,006;60,4;113,1
1653;-27,198;5,747;60;114,38
1654;-26,566;5,575;64,7;115,02
1655;-26,563;5,311;68,2;115,6
1656;-26,024;4,736;68,6;116,38
1657;-25,492;3,65;68,2;117,32
1658;-24,971;3,609;62,7;118,18
1659;-25,225;3,638;61,6;118,98
1660;-24,726;3,499;61,6;119,92
1661;-25,577;4,534;61,6;120,7
1662;-25,715;4,372;61,2;121,72
1663;-25,356;4,087;61,6;122,42
1664;-25,237;4,125;61,6;122,9
1665;-25,052;3,888;62,4;123,44
1666;-24,433;2,744;62,4;124,02
1667;-24,168;2,642;63,1;124,52
1668;-24,344;2,632;52,2;125,1
1669;-24,424;2,743;51;125,54
1670;-24,483;2,759;49,8;125,92
1671;-24,308;2,692;51,4;126,12
1672;-25,251;3,875;54,9;126,32
1673;-25,123;3,567;54,9;126,52
1674;-24,971;3,434;54,9;126,7
1675;-25,032;3,242;54,5;126,9
1676;-23,924;1,989;49,8;127
1677;-23,816;2,169;38,8;127
1678;-23,9;2,198;36,1;126,9
1679;-23,686;2,386;37,3;126,6
1680;-23,785;2,365;43,9;126,22
1681;-23,779;2,504;46,7;125,82
1682;-24,795;3,324;52,2;125,44
1683;-24,576;3,256;60,8;125,28
1684;-24,846;2,965;61,2;125,44
1685;-23,108;1,633;61,2;125,82
1686;-23,47;1,759;59,2;126,42
1687;-23,372;1,889;52,2;127
1688;-23,4;2,007;51,8;127,54
1689;-23,325;1,889;52,5;128,02
1690;-23,477;1,918;52,5;128,22
1691;-24,572;3,005;52,5;128,32
1692;-24,284;2,967;53,7;128,32
1693;-24,453;2,776;55,7;128,22
1694;-21,984;0,947;56,5;128,22
1695;0;-23,276;58;128,22
1696;0;-23,026;56,5;128,12
1697;0;-23,355;55,7;128,12
1698;0;-23,19;50,2;128,12
1699;0;-23,23;41,2;128,22
1700;0;-23,467;41,2;128,32
1701;0;-23,233;41,2;128,42
1702;0;-23,176;41,6;128,62
1703;0;-23,482;43,9;128,32
1704;0;-23,216;46,7;127,84
1705;0;-23,209;47,1;127,3
1706;0;-23,363;46,7;127,1
1707;0;-23,084;47,5;127
1708;0;-22,889;47,5;127,2
1709;0;-22,766;47,8;127,2
1710;0;-23,259;53,3;127,1
1711;-39,519;17,513;57,6;127
1712;-47,218;27,002;61,2;127
1713;-42,465;21,89;62;127,1
1714;-39,952;19,159;60,4;127,4
1715;-37,282;16,239;60;127,94
1716;-34,875;13,891;56,5;128,42
1717;-32,219;11,28;56,5;129,02
1718;-30,6;9,689;57,3;129,64
1719;-30,126;8,652;59,6;130,24
1720;-29,322;7,799;60;130,82
1721;-28,694;7,162;60;131,12
1722;-28,023;6,479;60,8;131,4
1723;-28,072;5,893;58;131,5
1724;-26,516;4,434;49,4;131,4
1725;-30,193;6,546;36,1;131,1
1726;-68,026;37,755;24,3;130,82
1727;-63,861;33,7;24,3;130,52
1728;-69,157;31,733;1,6;130,14
1729;-51,297;31,278;0;128,22
1730;-53,967;30,158;0;125,82
1731;-53,584;29,852;0;123,44
1732;-52,928;29,097;0;121
1733;-52,432;28,676;0;118,58
1734;-52,248;28,295;0;116,28
1735;-51,34;27,741;0;113,98
1736;-51,069;27,373;0;111,78
1737;-50,791;27,071;0;109,68
1738;-50,499;26,982;0;107,58
1739;-48,422;26,748;0;105,38
1740;-46,199;26,532;0;103,26
1741;-42,27;21,317;0;101,26
1742;0;-22,704;0;99,36
1743;0;-22,784;0;97,64
1744;0;-22,801;4,7;96,56
1745;0;-22,847;10,2;95,34
1746;0;-22,868;11;94,36
1747;0;-22,861;15,3;93,24
1748;0;-22,948;16,5;91,82
1749;0;-22,885;17,6;90,64
1750;0;-22,65;19,2;89,84
1751;0;-22,72;19,6;89,14
1752;0;-22,712;20,4;88,46
1753;0;-22,7;24,3;87,88
1754;0;-22,786;27,5;87,24
1755;0;-22,885;27,8;86,76
1756;0;-23,025;27,8;86,46
1757;0;-23,011;25,9;86,18
1758;0;-23,033;22,4;85,78
1759;0;-23,078;20;85,34
1760;0;-23,091;19,6;84,86
1761;-8,147;-12,492;18,4;84,36
1762;-72,705;53,578;17,6;83,76
1763;-62,5;43,238;9,4;83,24
1764;-61,578;38,355;0;82,64
1765;-58,618;35,277;0;82,06
1766;-56,44;33,128;0;81,58
1767;-54,904;31,533;0;80,84
1768;-53,761;30,3;0;79,66
1769;-52,638;29,159;0;78,14
1770;-51,824;28,297;0;76,52
1771;-51,18;27,692;0;73,46
1772;-50,869;27,378;0;70,02
1773;-50,329;26,704;0;66,94
1774;-49,544;26,002;0;64,2
1775;-49,622;26,158;0;61,42
1776;-49,25;25,776;0,4;58,62
1777;-49,026;25,346;14,5;55,78
1778;-48,625;24,751;0;52,98
1779;-46,937;25,248;0;50,4
1780;-44,934;24,682;0;47,34
1781;-48,098;24,419;0;44,08
1782;-47,92;24,142;0;39,22
1783;-47,47;23,607;0;35,66
1784;-47,233;23,487;0;33,44
1785;-47,256;23,8;0;32,02
1786;-47,366;23,581;0;30,7
1787;-47,148;23,3;2;28,54
1788;-45,47;21,812;0;26,42
1789;-37,934;13,681;0;23,64
1790;-18,514;-6,336;0;21,94
1791;0;-26,145;15,7;18,86
1792;0;-23,196;15,3;14,74
1793;0;-22,488;13,7;11,02
1794;0;-22,522;11,8;7,1
1795;0;-22,553;12,5;2,88
1796;0;-22,589;12,9;0
1797;0;-22,618;13,3;0
1798;0;-22,572;13,3;0
1799;0;-22,617;13,3;0
1800;0;-22,637;13,3;0
